Estonia,"Estonia is a Baltic gem offering visitors the chance to see a tiny dynamic land on the shores of the Baltic Sea. Glorious beaches pepper the extensive coastline, although the swimming season is short. After all, the Baltics are not renowned for warm weather - something that any visitor to Estonia must be aware of — the summer is short and the winter is severe. Tallinn's medieval old town was built by German crusaders in the Late Middle Ages and is in magnificent condition, with the medieval city walls and towers almost completely intact and it rates as one of Europe's best medieval old towns. Visitors can also experience an ex-Soviet occupied country that is now part of the European Union. Traces of the Soviet era are still there to be seen — e.g. Paldiski, a deserted Soviet army base that was once off-limits to Estonians themselves, can easily be visited on a day trip from the capital, Tallinn. 
 After 7 centuries of German, Danish, Swedish, Polish and Russian rule, Estonia attained independence in 1918. Annexed into the USSR in 1940, it re-gained independence in 1991 through its Singing Revolution [2], a non-violent revolution that overthrew an initially violent occupation. Since the last Russian troops left in 1994, Estonia moved to promote economic and political ties with Western Europe. It is now one of the more-prosperous former Communist states, enjoying a high-tech environment, an open and liberal economy and a transparent government system. On the other hand, it is faced with a fairly low (but growing) GDP per capita (in a European Union context), as well as a very low birth rate, which is creating a population decline. Between 1991-2007, the country saw rapid economic expansion, leading it to be among one of the wealthiest and the most developed of the former Soviet Republics. However, its economy was badly damaged during the ongoing global recession, although more recently, it has been recovering quickly. In 2011, the Euro was adopted as the official currency.
"
Bermuda,"Bermuda is divided into nine parishes (from east to west):
 Bermuda has two incorporated municipalities: one city and one town. There are also unincorporated municipalities (villages).
"
Grenada,"For a tourist introduction, try The Grenada Board of Tourism [2], PO Box 293, St. George’s, Grenada. Tel: 473 440-2279, fax: 473 440-6637, gbt@spiceisle.com.
 
"
Gabon,"A small population, as well as oil and mineral reserves have helped Gabon become one of Africa's wealthier countries. The country has generally been able to maintain and conserve its pristine rain forest and rich biodiversity.
 The earliest inhabitants of the area were Pygmy peoples. They were largely replaced and absorbed by Bantu tribes as they migrated.
"
Côte d'Ivoire,"It is bordered by Ghana to the east, Liberia to the west, Guinea to the northwest, Mali to the north, and Burkina Faso to the northeast.
 Close ties to France since independence in 1966, the development of cocoa production for export, and foreign investment made Côte d'Ivoire one of the most prosperous of the tropical African states, but did not protect it from political turmoil. 
"
Congo,"Those visiting for business, research, or international aid purposes should consult with their organization and seek expert guidance before planning a trip. Travelers visiting on their own should consult the advice of your embassy (Lengthy US Travel Warning for the DRC) for any travel to the DRC aside from the Kinshasa and Bas-Congo area (crime is a very serious problem in Kinshasa, though) and the vicinity of Lubumbashi. (Updated July 2012)
 Note: On this and other Wikitravel pages within the DRC, ""Congo"" refers to the Democratic Republic of the Congo.
"
South Sudan,"South Sudan is a country in Africa. Formerly a breakaway region of Sudan, it became an independent country on 9 July 2011 after a referendum was held in January that year. It borders Sudan, Ethiopia, Uganda, Kenya, Democratic Republic of the Congo, and the Central African Republic.
 Since South Sudan is located near the Equator in the tropics, much of its landscape consists of tropical rainforest. South Sudan also has extensive swamp and grassland regions.
"
Georgia,"Georgia is a country in the Caucasus. It lies at the eastern end of the Black Sea, with Turkey and Armenia to the south, Azerbaijan to the east, and Russia to the north, over the Caucasus Mountains.
"
Belarus,"(Officially) geographical names should be transliterated from Belarusian to Latin script letters according to the  ""instruction on transliteration of Belarusian geographical names with letters of Latin script"", although very often you can see other ways of transliteration.
 
Visa free entry
"
Canada,"Canada is a land of vast distances and rich natural beauty. Economically and technologically, and in many other ways she closely resembles her neighbour to the south, the United States, although there are significant differences between the two countries. Canada is perfectly happy with its British heritage and many Canadians are proud of this. Canada has historically been built and influenced by immigrants from two European  nations, Britain and France. This dual nature is very different than in the United States, and in some parts of Canada, particularly Quebec and parts of New Brunswick, Canadians primarily speak French. Canada became a self-governing dominion in 1867 by an act of the British parliament, and is still a proud member of the Commonwealth of Nations. By 1931 it was more or less fully independent of the United Kingdom. Though a medium sized country by its population (35 million), Canada has earned respect on the international stage for its strong diplomatic skills, peacekeeping efforts, and respect for human rights. Canadians enjoy a very high quality of life - Canada consistently scores very well on indices of economic freedom, corruption, respect for civil rights, and more. Domestically, the country has displayed success in negotiating compromises amongst its own culturally and linguistically varied populations, a difficult task considering that language, culture, and even history can vary significantly throughout the whole country. Similarly to the United States' traditional image of itself as a melting pot, there are many different minorities from all over the world living in Canada, particularly in urban centres. Canadians are, for the most part, used to living and interacting with people of different ethnic backgrounds on a daily basis and will usually be quite friendly and understanding if approached in public. The country is largely urban-based, where peoples of all backgrounds rub elbows with one another.
 The Canadian Sir Sandford Fleming first proposed time zones for the entire world in 1876, and Canada, being a continental country, is covered coast to coast with multiple zones. Canada uses the 12-hour clock system, however the 24-hour clock system is used in the provinces of Quebec and New Brunswick where French is an official language and this clock system is used with that language; and where ambiguity must be avoided, such as train or airline schedules when given in both English and French, because they will be indicated in each clock system. Daylight Saving Time, when clocks are moved forward by one hour, is observed in most of the country from 02:00 on the second Sunday in March until 02:00 on the second Sunday in November; during this time, for example, British Columbia is observing GMT-7 while Alberta is observing GMT-6.
"
